source,target,weight
ndAZjHqzzT8,n8iP75gIpmw,1
ndAZjHqzzT8,j43HgwYFKfk,1
ndAZjHqzzT8,WIUZtitfLRw,1
ndAZjHqzzT8,yLZS3JiEBg8,2
06mFNPU0aB8,6W4u8sGEnGM,1
yLZS3JiEBg8,WIUZtitfLRw,1
n8iP75gIpmw,b_Hkrkl3adA,1
n8iP75gIpmw,j43HgwYFKfk,2
n8iP75gIpmw,PjmxCj-a9Hg,1
is3Mk5oC19g,j43HgwYFKfk,1
PjmxCj-a9Hg,6W4u8sGEnGM,1
