comment_id,video_id,channel_name,sentimiento,prob_neg,prob_neu,prob_pos
Ugwvm2HYh08HI1HkcXV4AaABAg,PjmxCj-a9Hg,Gobierno de la República de Guatemala,POS,0.0070086796768009,0.0390051417052745,0.95398610830307
UgwvvK1L0aLOhCMUzfN4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9671024680137634,0.0281926803290843,0.0047049229033291
UgwwH4OIcVCCN6SbBX14AaABAg,n8iP75gIpmw,Quorum,NEG,0.9619882702827454,0.0307902731001377,0.0072214687243103
UgwwKfLmhHVU-Oxzqtl4AaABAg,n8iP75gIpmw,Quorum,NEG,0.8561893701553345,0.1314418315887451,0.0123686967417597
UgwwPrhCy2levkb6TRd4AaABAg,ndAZjHqzzT8,Quorum,NEG,0.967195212841034,0.030519438907504,0.0022853445261716
UgwxjmtBoAozs0ZUAcd4AaABAg,is3Mk5oC19g,TN23 Guatemala,NEG,0.9079324007034302,0.0777178630232811,0.0143497688695788
UgwxjmtBoAozs0ZUAcd4AaABAg.AaAbqoGVGipAaAjNG9oPRN,is3Mk5oC19g,TN23 Guatemala,NEU,0.214274376630783,0.5860719084739685,0.1996536701917648
UgwypjUeZBU45DrrW0d4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9675392508506776,0.0294236112385988,0.0030371255706995
Ugwz_6qtdDTbTWEUQQ94AaABAg,n8iP75gIpmw,Quorum,NEG,0.9856871962547302,0.0108086029067635,0.0035041270311921
Ugx-G2kCu5aSwh3IR5l4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9523075819015504,0.044807456433773,0.002884957473725
Ugx-cQ3Wf3whk_hssDR4AaABAg,06mFNPU0aB8,Noti7,NEG,0.9158505797386168,0.0760396793484687,0.0081096962094306
Ugx-hH6Ysw9sdv3kHPN4AaABAg,j43HgwYFKfk,Quorum,NEG,0.8668217062950134,0.0981710851192474,0.03500721976161
Ugx1reCoIQcnK3ii2GR4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9651615619659424,0.0303202494978904,0.0045181885361671
Ugx2ApaAMqe4ca4SCYx4AaABAg,n8iP75gIpmw,Quorum,NEU,0.1492774933576584,0.7252496480941772,0.1254728287458419
Ugx2LwWBVc3mFGJAinB4AaABAg,n8iP75gIpmw,Quorum,NEU,0.0252491421997547,0.555447518825531,0.4193033576011657
Ugx2byJzZBZkDMQMUqV4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9095709323883056,0.0709223225712776,0.0195067077875137
Ugx3uDgmZQhx3Z3VOzt4AaABAg,j43HgwYFKfk,Quorum,NEU,0.1277404725551605,0.7593331336975098,0.1129263713955879
Ugx3yIUZXGeiOVESIEl4AaABAg,n8iP75gIpmw,Quorum,NEU,0.3575282394886017,0.610590398311615,0.0318813845515251
Ugx4dn4xlUl9Jp9QJeJ4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,POS,0.0115432403981685,0.4162537753582001,0.5722029805183411
Ugx6Wjc02tqpQUBf4NJ4AaABAg,yLZS3JiEBg8,Quorum,NEG,0.9372140169143676,0.0519257970154285,0.010860214009881
Ugx74OPnWkWaFjpFuA94AaABAg,n8iP75gIpmw,Quorum,NEG,0.6596592664718628,0.3277985751628876,0.0125421090051531
Ugx74OPnWkWaFjpFuA94AaABAg.A7ki-1ED5b2A7nIcG2_svP,n8iP75gIpmw,Quorum,NEU,0.2423507124185562,0.4796285331249237,0.2780207395553589
Ugx7Gvgflw7nQKqoR094AaABAg,lj983NWyAQY,Municipalidad de Guatemala,POS,0.0057544568553566,0.0622621811926364,0.9319833517074584
Ugx7ezRwB-DpY3VQt754AaABAg,n8iP75gIpmw,Quorum,NEU,0.4346743524074554,0.5273992419242859,0.0379264205694198
Ugx7j6oWhgfonHPJCdR4AaABAg,n8iP75gIpmw,Quorum,NEG,0.8767416477203369,0.1097024455666542,0.0135559290647506
